opponent_bot,round,cumulative_ks,is_adapting_now
Cyanide 1.90,25,0.037916410195261985,0
Cyanide 1.90,26,0.0373123721597054,0
Cyanide 1.90,27,0.03693992418719061,0
Cyanide 1.90,28,0.036975932853461235,0
Cyanide 1.90,29,0.03662049615167706,0
Cyanide 1.90,30,0.0355797241659116,0
Cyanide 1.90,31,0.035055238283193346,0
Cyanide 1.90,32,0.03507929433572565,0
Cyanide 1.90,33,0.03510501898031493,0
Cyanide 1.90,34,0.03536251753694741,0
Diamond 1.8.22,1,0.019196350507616824,0
Diamond 1.8.22,2,0.023415911709038086,0
Diamond 1.8.22,3,0.030694682875208774,0
Diamond 1.8.22,4,0.03702017943118735,0
Diamond 1.8.22,5,0.03969604607580371,0
Diamond 1.8.22,6,0.04068051925203106,0
Diamond 1.8.22,7,0.03867063149361999,0
Diamond 1.8.22,8,0.03708302651942602,0
Diamond 1.8.22,9,0.035100030482265177,0
Diamond 1.8.22,10,0.03402146343581411,0
Diamond 1.8.22,11,0.03596087143409532,0
Diamond 1.8.22,12,0.03550097306358069,0
Diamond 1.8.22,13,0.03352925708265228,0
Diamond 1.8.22,14,0.0334762736831804,0
Diamond 1.8.22,15,0.03424245456677333,0
Diamond 1.8.22,16,0.03370841499843494,0
Diamond 1.8.22,17,0.034550163426845554,0
Diamond 1.8.22,18,0.03255493497060791,0
Diamond 1.8.22,19,0.03167039294047738,0
Diamond 1.8.22,20,0.03194409607267418,0
Diamond 1.8.22,21,0.031095263439836762,0
Diamond 1.8.22,22,0.03183510889911892,0
Diamond 1.8.22,23,0.03286745003609648,0
Diamond 1.8.22,24,0.033784928772483486,0
Diamond 1.8.22,25,0.03322069959517307,0
Diamond 1.8.22,26,0.034149565997774495,0
Diamond 1.8.22,27,0.03383652864719358,0
Diamond 1.8.22,28,0.034381776705654815,0
Diamond 1.8.22,29,0.03406628836472128,0
Diamond 1.8.22,30,0.03332432412464967,0
Diamond 1.8.22,31,0.0330977794531864,0
Diamond 1.8.22,32,0.033437496512231796,0
Diamond 1.8.22,33,0.03326648386966116,0
Diamond 1.8.22,34,0.03341353179658019,0
Domogled 1.2,1,0.03400863646344141,0
Domogled 1.2,2,0.03921634189685385,0
Domogled 1.2,3,0.04473727839635261,0
Domogled 1.2,4,0.0392878880314528,0
Domogled 1.2,5,0.044448743909470755,0
Domogled 1.2,6,0.0416493056750821,0
Domogled 1.2,7,0.04002992084232851,0
Domogled 1.2,8,0.04154534883140604,0
Domogled 1.2,9,0.04368326664543121,0
Domogled 1.2,10,0.04367311520596184,0
Domogled 1.2,11,0.04420700580883641,0
Domogled 1.2,12,0.04495171370871254,0
Domogled 1.2,13,0.046377048287876255,0
Domogled 1.2,14,0.045367181345293495,0
Domogled 1.2,15,0.0454559515055476,0
Domogled 1.2,16,0.0457377976964376,0
Domogled 1.2,17,0.04577150094391469,0
Domogled 1.2,18,0.04518498676558047,0
Domogled 1.2,19,0.04572248187907735,0
